下单时间,计划ID,推广计划,计划类型,展现量,点击量,点击率,总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,预售订单行,预售订单金额,直接加购数,间接加购数,总加购数,加购率,加购成本,转化率,CPA,ROI,下单新客数,广告访客数,访问页面数,页面平均访问时长,深度进店数,商品关注数,店铺关注数,预约数,领劵数,总表单提交量
20230401~20230426,1092809074,卸妆油_快车普通计划,商品,72916,3208,4.40,68966.47,945.83,21.50,291,61034.25,196,21350.42,487,82384.67,0,0.00,1129,757,1886,58.79,36.57,15.18,141.61,1.19,286,2006,11593,15.9,0,17,33,0,141,0
20230401~20230426,1085192802,同心锁口红_快车普通计划,商品,67833,5687,8.38,62174.54,916.58,10.93,65,15330.00,344,73637.01,409,88967.01,0,0.00,698,1718,2416,42.48,25.73,7.19,152.02,1.43,296,3774,25718,17.6,0,14,25,0,52,0
20230401~20230426,1090875198,单层气垫_快车普通计划,商品,64295,5551,8.63,61077.07,949.95,11.00,172,23913.33,430,64556.24,602,88469.57,0,0.00,1159,1553,2712,48.86,22.52,10.84,101.46,1.45,437,4033,20507,21.0,0,15,28,0,77,0
20230401~20230426,1090882453,持色唇纱_快车普通计划,商品,59166,4401,7.44,35181.29,594.62,7.99,46,6063.00,275,37332.81,321,43395.81,0,0.00,662,1107,1769,40.20,19.89,7.29,109.60,1.23,240,3062,16943,22.1,0,16,13,0,22,0
20230401~20230426,1090852145,私模蜜粉饼_快车普通计划,商品,57585,4832,8.39,82446.17,1431.73,17.06,131,26927.00,511,95497.44,642,122424.44,0,0.00,1105,1967,3072,63.58,26.84,13.29,128.42,1.48,447,3272,20265,20.1,0,18,47,0,169,0
20230401~20230426,1085201688,素颜出行组合_快车普通计划,商品,37537,2806,7.48,44437.76,1183.84,15.84,86,31648.00,216,39462.04,302,71110.04,0,0.00,571,896,1467,52.28,30.29,10.76,147.14,1.60,205,1987,11754,20.8,0,8,37,0,109,0
20230401~20230426,672062574,并蒂同心妆匣_快车普通计划,商品,32665,1954,5.98,22691.16,694.66,11.61,24,12545.00,53,14345.00,77,26890.00,0,0.00,320,330,650,33.27,34.91,3.94,294.69,1.19,48,1394,7559,16.7,0,5,10,0,21,0
20230401~20230426,1194318675,玉养气垫_快车普通计划,商品,27839,787,2.83,7023.17,252.28,8.92,9,1791.00,45,9144.00,54,10935.00,0,0.00,161,217,378,48.03,18.58,6.86,130.06,1.56,33,523,2558,18.4,0,9,2,0,25,0
20230401~20230426,1104004922,玉容纱粉饼_快车普通计划,商品,21028,1684,8.01,29243.69,1390.70,17.37,108,21494.00,160,27277.22,268,48771.22,0,0.00,514,598,1112,66.03,26.30,15.91,109.12,1.67,163,1244,6988,19.3,0,8,13,0,46,0
20230401~20230426,1085204794,出水芙蓉组合_快车普通计划,商品,17982,1083,6.02,14429.96,802.47,13.32,23,8464.00,114,22035.03,137,30499.03,0,0.00,199,395,594,54.85,24.29,12.65,105.33,2.11,85,821,4852,19.0,0,4,15,0,45,0
20230401~20230426,1106328466,玉养喷雾_快车普通计划,商品,14704,1235,8.40,26255.14,1785.58,21.26,108,16096.70,36,5363.00,144,21459.70,0,0.00,434,146,580,46.96,45.27,11.66,182.33,0.82,116,826,3121,19.5,0,3,1,0,9,0
20230401~20230426,1142137036,东方妆奁_京选店铺,京选店铺,12748,2094,16.43,21825.12,1712.04,10.42,1,1314.00,246,41914.84,247,43228.84,0,0.00,10,1568,1578,75.36,13.83,11.80,88.36,1.98,167,1653,15907,15.1,0,11,51,0,153,0
20230401~20230426,1085182798,持色唇纱礼盒_快车普通计划,商品,10111,497,4.92,5281.10,522.31,10.63,3,1137.00,20,3770.00,23,4907.00,0,0.00,65,121,186,37.42,28.39,4.63,229.61,0.93,16,359,1946,18.6,0,0,2,0,7,0
20230401~20230426,1176897710,持色唇纱2.0丝柔_快车普通计划,商品,10035,734,7.31,7046.62,702.20,9.60,13,1677.00,44,5626.00,57,7303.00,0,0.00,250,214,464,63.22,15.19,7.77,123.62,1.04,41,509,2252,23.3,0,7,2,0,7,0
20230401~20230426,1142145639,私模蜜粉_京选店铺,京选店铺,8437,1384,16.40,14543.24,1723.75,10.51,12,2028.00,140,25623.00,152,27651.00,0,0.00,62,1096,1158,83.67,12.56,10.98,95.68,1.90,93,1080,10709,15.2,0,2,44,0,119,0
20230401~20230426,1176879666,持色唇纱2.0_快车普通计划,商品,5225,267,5.11,2216.52,424.21,8.30,8,1032.00,13,1787.00,21,2819.00,0,0.00,46,56,102,38.20,21.73,7.87,105.55,1.27,14,203,898,17.9,0,1,2,0,5,0
20230401~20230426,1210710213,私模蜜粉_快车关键词计划,商品,3998,308,7.70,1938.48,484.86,6.29,7,1183.00,5,1054.00,12,2237.00,0,0.00,54,52,106,34.42,18.29,3.90,161.54,1.15,10,210,955,15.5,122,2,0,0,2,0
20230401~20230426,626847635,经典海投计划,腰带店铺,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,0,0.0,0,0,0,0,0,0
20230401~20230426,1090929269,东方妆奁_购物触点,商品,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,2,4,0.00,0.00,0.00,0.00,0.00,0,10,0,0.0,0,0,0,0,0,0
20230401~20230426,1090907616,小黛伞防晒_购物触点,商品,0,0,0.00,0.00,0.00,0.00,3,597.00,0,0.00,3,597.00,0,0.00,19,10,29,0.00,0.00,0.00,0.00,0.00,0,27,0,0.0,0,0,0,0,5,0
